hdi,sub1,sub2,sub3,sub4
"1,00","1,00","1,00","1,00","0,99"
"0,99","1,00","0,98","1,00","1,00"
"0,99","0,99","0,99","0,99","1,00"
"0,99","0,99","1,00","0,99","0,99"
"0,99","0,99","1,00","0,98","1,00"
"0,99","0,99","0,99","0,99","1,00"
"0,99","0,98","1,00","1,00","0,99"
"0,99","0,99","1,00","0,98","0,99"
"0,99","0,99","0,98","1,00","0,99"
"0,99","0,98","0,99","0,99","0,99"
"0,99","0,99","0,99","0,98","0,99"
"0,99","0,99","0,98","0,99","0,99"
"0,99","1,00","1,00","0,99","0,97"
"0,99","0,98","1,00","0,99","0,98"
"0,99","1,00","0,98","0,99","0,98"
"0,99","0,99","0,99","1,00","0,98"
"0,99","0,99","0,99","0,98","0,99"
"0,99","1,00","0,97","0,99","0,98"
"0,99","1,00","1,00","0,98","0,96"
"0,98","0,97","1,00","0,98","0,99"
"0,98","0,98","0,99","0,99","0,97"
"0,98","0,97","1,00","0,99","0,98"
"0,98","0,97","1,00","0,99","0,98"
"0,98","0,97","0,99","0,99","0,99"
"0,98","0,98","1,00","0,98","0,98"
"0,98","0,97","1,00","0,99","0,97"
"0,98","0,99","1,00","0,96","0,98"
"0,98","0,97","1,00","0,99","0,97"
"0,98","0,95","1,00","0,98","0,99"
"0,98","0,98","1,00","0,99","0,95"
"0,98","0,94","1,00","0,99","0,99"
"0,98","0,97","0,98","0,98","0,99"
"0,98","0,99","0,95","0,98","0,99"
"0,98","0,96","0,98","0,98","0,97"
"0,98","0,99","0,94","0,97","0,99"
"0,98","0,93","0,99","0,99","0,99"
"0,97","0,97","0,95","0,98","0,99"
"0,97","1,00","0,97","0,98","0,94"
"0,97","0,93","0,98","0,99","0,98"
"0,97","1,00","0,98","0,95","0,95"
"0,97","0,97","0,94","0,98","0,99"
"0,97","0,93","0,99","0,98","0,99"
"0,97","0,96","0,95","0,98","0,99"
"0,97","0,92","1,00","0,98","0,98"
"0,97","0,98","0,98","0,98","0,93"
"0,97","0,99","0,93","0,98","0,97"
"0,97","0,99","0,97","0,97","0,93"
"0,97","0,89","1,00","0,99","0,98"
"0,96","0,98","0,94","0,97","0,97"
"0,96","0,98","0,99","0,98","0,91"
"0,96","0,91","0,99","0,99","0,96"
"0,96","0,96","0,99","0,97","0,92"
"0,96","0,93","0,96","0,95","0,99"
"0,96","0,94","0,96","0,96","0,96"
"0,96","0,98","0,89","0,96","0,99"
"0,95","0,90","0,99","0,99","0,94"
"0,95","0,97","0,93","0,99","0,92"
"0,95","0,93","0,97","0,98","0,91"
"0,95","0,94","0,91","0,97","0,97"
"0,95","0,95","0,92","0,96","0,96"
"0,94","0,94","0,92","0,95","0,96"
"0,94","0,98","0,98","0,99","0,81"
"0,94","0,97","0,88","0,96","0,95"
"0,94","0,96","0,90","0,94","0,96"
"0,94","0,95","0,95","0,96","0,90"
"0,94","0,97","0,87","0,96","0,95"
"0,94","0,92","0,94","0,97","0,92"
"0,94","0,95","0,93","0,97","0,90"
"0,94","1,00","0,84","0,94","0,96"
"0,93","0,99","0,82","0,95","0,97"
"0,93","0,99","0,85","0,95","0,93"
"0,93","0,99","0,83","0,98","0,92"
"0,92","0,88","0,97","0,94","0,90"
"0,92","0,87","0,95","0,98","0,89"
"0,92","1,00","0,80","0,92","0,96"
"0,92","0,97","0,85","0,92","0,92"
"0,91","0,96","0,94","0,96","0,79"
"0,91","0,95","0,86","0,96","0,87"
"0,91","0,83","0,90","0,98","0,93"
"0,90","0,87","0,94","0,96","0,85"
"0,90","0,97","0,74","0,92","0,97"
"0,89","0,83","0,94","0,96","0,84"
"0,89","0,89","0,91","0,93","0,84"
"0,89","0,99","0,73","0,90","0,93"
"0,87","0,94","0,85","0,94","0,75"
"0,86","0,99","0,67","0,86","0,94"
"0,86","0,75","0,85","0,90","0,95"
"0,85","0,95","0,78","0,91","0,75"
"0,85","0,88","0,72","0,91","0,88"
"0,83","0,97","0,70","0,88","0,79"
"0,82","0,92","0,58","0,92","0,84"
"0,82","0,92","0,71","0,85","0,79"
"0,82","0,92","0,53","0,84","0,97"
"0,81","0,96","0,73","0,86","0,70"
"0,81","0,94","0,87","0,89","0,54"
"0,79","0,82","0,76","0,82","0,76"
"0,78","0,96","0,59","0,90","0,66"
"0,78","0,99","0,66","0,94","0,52"
"0,75","0,74","0,52","0,87","0,86"
"0,74","0,99","0,57","0,84","0,55"
"0,73","0,52","0,73","0,87","0,80"
"0,72","0,79","0,52","0,82","0,73"
"0,71","0,66","0,51","0,83","0,86"
"0,67","0,86","0,71","0,67","0,45"
"0,66","0,86","0,51","0,78","0,49"
"0,65","0,73","0,55","0,73","0,61"
"0,64","0,95","0,29","0,65","0,68"
"0,64","0,34","0,71","0,80","0,69"
"0,64","0,67","0,29","0,78","0,80"
"0,63","0,73","0,34","0,72","0,71"
"0,56","0,72","0,37","0,58","0,57"
"0,53","0,64","0,16","0,63","0,72"
"0,52","0,64","0,37","0,60","0,47"